Open_Time_NY,Open,High,Low,Close
2026-03-11 00:00:00,85.8,86.15,85.61,85.66
2026-03-11 04:00:00,85.62,86.73,85.34,85.44
2026-03-11 08:00:00,85.48,85.49,84.57,84.57
2026-03-11 12:00:00,84.52,86.95,84.52,85.25
2026-03-11 16:00:00,85.37,87.83,85.37,87.27
2026-03-11 20:00:00,87.19,87.62,86.63,86.63
2026-03-12 00:00:00,86.57,86.69,84.89,84.89
2026-03-12 04:00:00,84.91,85.79,84.91,85.79
2026-03-12 08:00:00,85.8,86.97,85.56,86.9
2026-03-12 12:00:00,86.8,87.41,85.5,86.66
2026-03-12 16:00:00,86.65,86.88,85.87,86.78
2026-03-12 20:00:00,86.84,86.99,86.05,86.98
2026-03-13 00:00:00,86.88,90.5,86.82,89.51
2026-03-13 04:00:00,89.7,89.73,88.5,88.59
2026-03-13 08:00:00,88.63,90.23,88.56,90.23
2026-03-13 12:00:00,90.35,92.73,89.7,89.7
2026-03-13 16:00:00,89.49,89.89,88.58,88.92
2026-03-13 20:00:00,88.82,89.05,87.83,88.12
2026-03-14 00:00:00,88.15,88.52,87.93,88.43
2026-03-14 04:00:00,88.42,88.64,87.23,87.32
2026-03-14 08:00:00,87.34,87.44,86.63,86.97
2026-03-14 12:00:00,86.97,87.31,86.73,86.77
2026-03-14 16:00:00,86.77,87.09,86.72,87.03
2026-03-14 20:00:00,87.0,88.1,86.92,88.02
2026-03-15 00:00:00,88.04,88.34,87.65,87.76
2026-03-15 04:00:00,87.78,88.51,87.78,88.18
2026-03-15 08:00:00,88.2,88.77,88.2,88.56
2026-03-15 12:00:00,88.56,88.56,87.55,87.99
2026-03-15 16:00:00,87.96,88.61,87.61,88.09
2026-03-15 20:00:00,88.17,92.91,88.11,92.16
2026-03-16 00:00:00,92.25,93.38,91.35,93.22
2026-03-16 04:00:00,93.26,94.07,93.07,93.51
2026-03-16 08:00:00,93.57,93.9,92.81,93.81
2026-03-16 12:00:00,93.78,94.61,92.71,93.35
2026-03-16 16:00:00,93.3,95.09,93.27,94.98
2026-03-16 20:00:00,95.19,97.26,95.19,96.21
2026-03-17 00:00:00,96.21,96.45,93.89,93.89
2026-03-17 04:00:00,93.97,94.53,93.5,94.44
2026-03-17 08:00:00,94.42,94.76,93.44,93.81
2026-03-17 12:00:00,93.75,94.73,93.36,93.76
2026-03-17 16:00:00,93.79,95.48,93.79,94.77
2026-03-17 20:00:00,94.73,95.44,94.6,94.73
2026-03-18 00:00:00,94.69,95.43,94.25,95.19
2026-03-18 04:00:00,95.12,95.12,93.96,93.98
2026-03-18 08:00:00,93.96,94.34,92.02,92.02
2026-03-18 12:00:00,92.01,92.01,88.98,89.22
2026-03-18 16:00:00,89.29,90.69,88.91,89.63
2026-03-18 20:00:00,89.65,90.45,89.34,90.04
2026-03-19 00:00:00,90.03,91.16,89.98,90.97
2026-03-19 04:00:00,90.9,90.9,89.04,89.57
2026-03-19 08:00:00,89.5,90.27,89.19,89.59
2026-03-19 12:00:00,89.58,89.58,87.56,87.57
2026-03-19 16:00:00,87.65,89.03,87.28,88.87
2026-03-19 20:00:00,88.85,89.2,88.55,88.85
2026-03-20 00:00:00,88.9,89.64,88.9,89.56
2026-03-20 04:00:00,89.6,89.69,88.69,89.4
2026-03-20 08:00:00,89.41,90.13,88.76,88.99
2026-03-20 12:00:00,89.06,89.46,88.7,88.88
2026-03-20 16:00:00,88.95,89.04,88.32,88.91
2026-03-20 20:00:00,89.02,90.13,88.74,89.9
2026-03-21 00:00:00,89.87,90.45,89.84,90.41
2026-03-21 04:00:00,90.54,90.68,90.0,90.04
2026-03-21 08:00:00,90.05,90.29,89.88,89.92
2026-03-21 12:00:00,89.92,90.23,89.53,89.8
